TITLE,AUTHOR,FILEPATH
Bunch Grass,['Horace Annesley Vachell'],./data/1/0/3/7/10372/10372/10372.txt
The Middle Temple Murder,['J.S. Fletcher'],./data/1/0/3/7/10373/10373.txt
The Ramblin' Kid,['Earl Wayland Bowman'],./data/1/0/3/7/10374/10374.txt
England's Antiphon,['George MacDonald'],./data/1/0/3/7/10375/10375/10375.txt
The Evil Guest,['J. Sheridan Le Fanu'],./data/1/0/3/7/10377/10377.txt
Autobiography,['John Stuart Mill'],./data/1/0/3/7/10378/10378/10378.txt
At Love's Cost,['Charles Garvice'],./data/1/0/3/7/10379/10379/10379.txt
Bible Stories and Religious Classics,['Philip P. Wells'],./data/1/0/3/8/10380/10380/10380.txt
The History of a Crime,['Victor Hugo'],./data/1/0/3/8/10381/10381/10381.txt
Memoir of William Watts McNair,['J.E. Howard'],./data/1/0/3/8/10382/10382/10382.txt
"The Maternal Management of Children, in Health and Disease.","['Thomas Bull', 'M.D.']",./data/1/0/3/8/10383/10383/10383.txt
Thoughts On The Necessity Of Improving The Condition Of The Slaves,['Thomas Clarkson'],./data/1/0/3/8/10386/10386/10386.txt
"The Real America in Romance, Volume 6; A Century Too Soon (A Story",['John R. Musick'],./data/1/0/3/8/10387/10387.txt
"Old English Plays, Vol. I",['Various'],./data/1/0/3/8/10388/10388.txt
"Northern Trails, Book I.",['William J. Long'],./data/1/0/3/8/10389/10389/10389.txt
The Edinburgh Lectures on Mental Science,['Thomas Troward'],./data/1/0/3/9/10390/10390.txt
The Wolf's Long Howl,['Stanley Waterloo'],./data/1/0/3/9/10391/10391.txt
The Reminiscences Of Sir Henry Hawkins (Baron Brampton),['Henry Hawkins Brampton'],./data/1/0/3/9/10392/10392/10392.txt
Making the House a Home,['Edgar A. Guest'],./data/1/0/3/9/10393/10393/10393.txt
Stolen Treasure,['Howard Pyle'],./data/1/0/3/9/10394/10394/10394.txt
Joy & Power,['Henry van Dyke'],./data/1/0/3/9/10395/10395/10395.txt
Andy the Acrobat,['Peter T. Harkness'],./data/1/0/3/9/10396/10396/10396.txt
Affairs of State,['Burton E. Stevenson'],./data/1/0/3/9/10397/10397.txt
The American Child,['Elizabeth McCracken'],./data/1/0/3/9/10398/10398.txt
Personal Memoir Of Daniel Drayton,['Daniel Drayton'],./data/1/0/4/0/10401/10401/10401.txt
A Man and His Money,['Frederic Stewart Isham'],./data/1/0/4/0/10402/10402.txt
Twixt France and Spain,['E. Ernest Bilbrough'],./data/1/0/4/0/10403/10403.txt
Man Size,['William MacLeod Raine'],./data/1/0/4/0/10404/10404.txt
The Crisis of the Naval War,['John Rushworth Jellicoe'],./data/1/0/4/0/10409/10409/10409.txt
The Powers and Maxine,['Charles Norris Williamson'],./data/1/0/4/1/10410/10410/10410.txt
"Love, Life & Work",['Elbert Hubbard'],./data/1/0/4/1/10417/10417/10417.txt
The Money Moon,['Jeffery Farnol'],./data/1/0/4/1/10418/10418.txt
The Forest Monster of Oz,['Bob Evans'],./data/1/0/4/1/10419/10419.txt
The Three Taverns,['Edwin Arlington Robinson'],./data/1/0/4/1040/1040.txt
Shakespeare's Sonnets,['William Shakespeare'],./data/1/0/4/1041/1041.txt
A Reading of Life,['George Meredith'],./data/1/0/4/1042/1042-0.txt
The Story of Evolution,['Joseph McCabe'],./data/1/0/4/1043/1043.txt
